University,Date,Student,Quote,Number,Year
University of California Irvine,3/31/2020,UC Irvine Associated Students Senator (Roe),"<p>""...I also feel that this [2012 divestment bill] existing has created a noxious atmosphere where for example, myself having been threatened when I have attempted to talk to members of SJP and I've seen it repeatedly where there has been people yelling at Hillel, the student Jewish organization on campus. I believe that having neutrality on this matter and thus repealing [the BDS bill] would help to dispel that, that sort of nasty atmosphere, and to create neutrality on campus, the ability to have reconciliation rather than rancor."" <a href=""https://www.facebook.com/associatedstudentsuci/videos/204413517653418/"" target=""_blank"">Read more</a> (41 minutes into meeting)</p>",991,2020
University of California Irvine,3/31/2020,Resolution Wording to Repeal a 2012 Divestment Bill (Student Sponsors),"<p>""Whereas, a sustained campaign of harassment and intimidation has been waged against Jewish Students and their allies on UCI’s Campus with impunity; Whereas, the adoption of R48-15 has created a noxious campus climate that has fostered the aforementioned campaign of harassment..."" <a href=""https://www.asuci.uci.edu/senate/legislation/print/?legislation_number=R55-56"" target=""_blank"">Read more</a></p>",992,2020
George Washington University,3/9/2020,George Washington University Jewish Student (Blake),"<p>""Jewish students don’t want your apologies or your sympathies. We don’t want to hear how sorry you are that we’re facing such ugly antisemitism on our campuses. We want your outrage. We want organization and mobilization and education and for someone to stand up for us."" <a href=""https://twitter.com/BlakeFlayton/status/1237094985587195904"" target=""_blank"">Read more</a></p>",987,2020
George Washington University,3/8/2020,George Washington Jewish Student (Blake),"<p>""I was attacked for being a Jew at GW this weekend. I thought this was no big deal but given the recent developments at GW concerning multiple students, this seems relevant. I was recently followed down the street, on my campus,by a group of boys while wearing my kippah. I had my headphones in and smiled at them while I walked home. They were yelling something and when I noticed they were yelling at me and took out my headphones and said 'I’m sorry?' They continued to yell things I didn’t understand and I just laughed it off. I kept walking. When they passed me one of them obviously turned around and saw my kippah. He then started yelling 'Oh! Yahood! Yahoodi! We’ve got a yahood over here' and everyone started laughing. One of them started yelling 'you produced it! You produced it! You started it!' I froze for a second and then kept walking. This happened as news was breaking around DC that participants at AIPAC were potentially exposed to a COVID-19 case. Since then, there have multiple social media posts and private texts that I’ve been made aware of students attacking 'Zionists' and 'AIPAC participants' for possibly starting an outbreak at GW. Blaming Jews, any group of Jews, of starting or facilitating an outbreak of a disease is one of the most famous and deadly antisemitic tropes in the book.The antisemitism task force at [GW] must release a statement immediately condemning the targeting of any Jewish student on this campus for diseasing or endangering the student body. This rhetoric spreads like wildfire and makes us all unsafe."" <a href=""https://twitter.com/BlakeFlayton/status/1236857484385693696"" target=""_blank"">Read more</a></p>",988,2020
University of Illinois Urbana Champaign,2/28/2020,UIUC Student Senate President (Connor) - [After vetoing a divestment resolution that passed],"<p>“There were fears that this [divestment] resolution leads to high rates of anti-Semitism, or fears (Jewish students) would have to hide their identities, and I can’t ignore that. I’m just not comfortable approving a resolution that so many students had those objections to and that they’d feel isolation if it passes.” <a href=""https://dailyillini.com/news/2020/02/27/vetoed-resolution-faces-divided-reactions-potential-nullification/"" target=""_blank"">Read more</a></p>",983,2020
University of Illinois Urbana Champaign,2/28/2020,UIUC Jewish Student (Daniel),"<p>""[The executive branch veto of the divestment resolution] bought a sense of normalcy and protection that Jewish students lack on this campus.” <a href=""https://dailyillini.com/news/2020/02/27/vetoed-resolution-faces-divided-reactions-potential-nullification/"" target=""_blank"">Read more</a></p>",984,2020
University of Illinois Urbana Champaign,2/27/2020,UIUC Student Senator (Ian),"<p>“[Prospective Jewish students reached out to me expressing that] they can’t go to this University [because of campus incidents of anti-Semitism]. The walkout we had in fall semester, the anti-Semitism and swastikas here, the BDS resolution, these are all just multiple layers to the cake of why a student would feel unsafe going here.” <a href=""https://dailyillini.com/news/2020/02/27/vetoed-resolution-faces-divided-reactions-potential-nullification/"" target=""_blank"">Read more</a></p>",985,2020
CUNY School of Law,2/27/2020,Former CUNY School of Law Jewish Student (Rafaella),"<p>""If you are Jewish and you believe that Israel should exist in any way, shape, or form, you’re basically blacklisted, there’s no room for your point of view on the CUNY Law campus."" <a href=""https://www.algemeiner.com/2020/02/27/jewish-student-says-she-left-city-university-of-new-york-law-school-after-being-targeted-by-antisemitic-harassment-for-supporting-israel/"" target=""_blank"">Read more</a></p>",986,2020
New York University,2/25/2020,NYU Jewish Student (Ben),"<p>""[P]ro-Israel voices are silenced on campus, mainly due to intimidation and threats by student organizations like Students for Justice in Palestine (SJP)."" <a href=""https://www.jns.org/opinion/questioning-only-israels-right-to-self-determination/"" target=""_blank"">Read more</a></p>",981,2020
New York University,2/24/2020,NYU Jewish Student (Rachel),"<p>“I think that [anti-Semitism] is a huge problem on campus. If anyone has been unjustly hurt and not protected by an institution that is supposed to support and protect them… they should take the necessary measures. The fact that someone could be so fed up and frustrated with how their opinions are being handled on campus that they would go to this length looks pretty bad for the university... Popular sentiment on campus is that Israel is evil and many clubs don’t recognize Realize Israel and boycott it. I’m sure if I was more adamant or open about the fact that I am pro-Israel, I would receive more backlash. I’ve also only been here for a semester, and I am pretty quiet. It’s not a safe environment if you are Jewish [or] see Israel as your homeland.” <a href=""https://nyunews.com/news/2020/02/24-antisemitism-student-sues-nyu"" target=""_blank"">Read more</a></p>",978,2020
New York University,2/24/2020,NYU Jewish Student (Javier),"<p>“I try my best to stay as quiet as possible because I do not want to cement the conflict. I feel unsafe in a room of student activists when resolutions in student government are being discussed.” <a href=""https://nyunews.com/news/2020/02/24-antisemitism-student-sues-nyu"" target=""_blank"">Read more</a></p>",979,2020
University of California Berkeley,2/21/2020,UC Berkeley Jewish Student and ASUC senator (Shelby),"<p>""The bill’s protesters need not have called its Jewish supporters Nazis and fascists (especially when many of us are the descendants of victims of these ideologies), and these same protesters did not need to shout down public commenters who shared opposing views... As Jewish students walked out of the Feb. 3 meeting out of concern for their safety, they should not have been applauded and cheered by those advocating against the bill."" <a href=""https://www.dailycal.org/2020/02/21/campus-must-address-antisemitism-work-through-pain/"" target=""_blank"">Read more</a></p>",980,2020
CUNY School of Law,2/21/2020,CUNY School of Law Jewish Student (Rafaella),"<p>""I found the only way to vent was to engage with like-minded friends I made on the internet. I didn’t feel represented or supported among the student body at my school. This is especially true in a world where Jews on Western college campuses are being pushed out of the community, including from student governments... Because I mentioned the Israel Defense Forces in a borderline positive way, I apparently was a danger. Never mind that my tweet was hyperbolic and sarcastic. They also sent around my r/lawschools Reddit post about transferring because I felt like I didn’t fit in ideologically.... I felt my fears weren’t taken seriously, and I would have to wait for something explicit to happen (like having a swastika drawn on my locker or being called a 'k*ke') before they would take action. But that’s what’s challenging about leftist anti-Semitism: It is nowhere near as blatant as right-wing anti-Semitism."" <a href=""https://jewishjournal.com/first-person/309725/campus-anti-semitism-made-me-a-zionist/"" target=""_blank"">Read more</a></p>",982,2020
University of California Berkeley,2/16/2020,UC Berkeley Jewish Student (Nina),"<p>“No matter what we do, no matter what we say, no matter how many Jews have to cry and express their feelings to the senators, clearly our voices are not being heard on campus"". <a href=""https://www.algemeiner.com/2020/02/16/uiuc-jewish-leader-berates-student-government-for-sign-equating-pro-israel-activists-with-nazis/"" target=""_blank"">Read more</a></p>",976,2020
University of California Los Angeles,2/16/2020,UCLA Jewish Student (Justin),"<p>""Many Jewish students prefer not to externalize their religious identity. Many of my friends would rather hide the Star of David medallion around their necks or they're simply afraid to disclose their family's affinity to Israel in private conversations, fearing that an anti-Israeli lecturer hears about it and they end up suffering for it academically. We find it difficult to recruit members for pro-Israel groups or for rallies we organize, because many of them think it's too big a risk."" <a href=""https://www.israelhayom.com/2020/02/16/as-anti-semitism-on-us-campuses-rises-jewish-students-refuse-to-remain-silent/"" target=""_blank"">Read more</a></p>",977,2020
University of Illinois Urbana Champaign,2/13/2020,University of Illinois Urbana Champaign Jewish Student (Aaron),"<p>“The Jewish community, the pro-Israel community is extremely disappointed in what just happened in our student government. The student government does not represent the students. This is not the first time a BDS resolution has been proposed. The previous two times it has failed overwhelmingly because it was voted by the students.” <a href=""https://www.jns.org/after-six-hour-debate-university-of-illinois-student-government-passes-bds-resolution/"" target=""_blank"">Read more</a></p>",974,2020
Cornell University,2/13/2020,Cornell University Jewish Student (Josh),"<p>""This is not the first time Cornell Students for Justice in Palestine has promoted PFLP propaganda. Last spring, the group used a PFLP poster to promote an event called “From Ferguson to Palestine: A Conversation Surrounding Struggle” before taking it down after students protested. And Cornell SJP has repeatedly defended Rasmeah Odeh, a former member of the PFLP responsible for a 1969 Jerusalem bombing which killed two Israeli college students, calling her an “activist.” Cornell Collective for Justice in Palestine, an organization which co-signed Cornell SJP’s call for BDS last spring, has a photograph of PFLP member Leila Khaled as its Facebook profile picture. Khaled led multiple plane hijackings while active in the PFLP. Ghassan Kanafani, the PFLP leader whom the Cornell SJP post promotes, helped plan one of the PFLP’s most deadly terror attacks."" <a href=""https://cornellsun.com/2020/02/12/guest-room-when-will-cornell-students-for-justice-in-palestine-stop-endorsing-a-terror-organization/"" target=""_blank"">Read more</a><span></span></p>",975,2020
University of California Berkeley,2/12/2020,UC Berkeley Jewish Student and ASUCB Senator (Shelby),"<p>""It just never ceases to amaze me the trivialization of Jewish death on this campus."" <a href=""https://www.jweekly.com/2020/02/11/uc-berkeley-student-government-resolution-to-condemn-palestinian-display-fails/"" target=""_blank"">Read more</a></p>",973,2020
University of California Berkeley,2/10/2020,UC Berkeley Jewish Student (Nathan),"<p>“Clearly Berkeley is not united against hate. I honestly have very little to say, the Jewish community is beyond disappointed.” <a href=""https://www.dailycal.org/2020/02/12/asuc-committee-votes-no-on-resolution-that-would-condemn-bears-for-palestine/"" target=""_blank"">Read more</a></p>",972,2020
University of California Berkeley,2/4/2020,UC Berkeley Tikvah: Students for Israel (Statement),"<p>""Last night, at an ASUC meeting in which students debated over a bill to condemn a display by Bears for Palestine glorifying terrorists and murderers of Jews, Jewish students were repeatedly harassed, heckled, and threatened with physical threats of violence. Despite multiple threats of violence, the ASUC administrator and moderator refused to get involved. One BFP member stepped into a student’s face and said ""I'm going to kick your ass,” while another Jewish student was chased out of the room by BFP members. We, as a community, decided that enough was enough and that we were not going to sit idly by as our members were threatened and harassed, so we walked out. Physical threats against Jewish students will NEVER be tolerated at UC Berkeley. Jewish students should never feel threatened and should NEVER fear for their safety while on campus. This is truly an embarrassing moment for the UC Berkeley.<span></span>"" <a href=""https://www.facebook.com/watch/?v=190603668685279"" target=""_blank"">Read more</a></p>",971,2020
George Washington University,2/3/2020,George Washington University Student Association Statement,"<p>“We must acknowledge as an entire GW community the repetitive nature of these anti-Semitic actions on our campus. We will continue to call on the University to take greater strides in ensuring the safety of the Jewish students at GW.” <a href=""https://www.gwhatchet.com/2020/02/03/student-leaders-condemn-alleged-anti-semitic-vandalism-on-residence-hall-room-door/"" target=""_blank"">Read more</a></p>",967,2020
George Washington University,2/1/2020,George Washington University Jewish Student (Zev),"<p>""I returned to genitalia drawn over my door, and this: A Swastika and Hitler mustache. As a proud and vocal Jew, I know this was not a coincidence. This was another attempt to stop me from expressing my views publicly, and another attempt to intimidate me into being quiet."" <a href=""https://www.facebook.com/photo.php?fbid=812633405879930&amp;set=a.290496084760334&amp;type=3&amp;theater"" target=""_blank"">Read more</a></p>",968,2020
University of California Berkeley,1/31/2020,University of California Berkeley Jewish Student (Maya),"<p>""How can Jewish students feel supported during these dark times when we walk through a campus every day that has posters of our murderers in its buildings? As a Jewish student, I am tired. I am tired of having to fight for the acknowledgment of anti-Semitism on a campus that claims to stand up for the marginalized. I am tired of having my people’s suffering justified to me time and time again. I am tired of people’s excuses for why their own anti-Semitism is only 'anti-Zionism,' as if the two are not practically identical."" <a href=""https://www.dailycal.org/2020/01/31/asuc-should-condemn-bears-for-palestines-display/"" target=""_blank"">Read more</a><span></span></p>",969,2020
University of Illinois Urbana Champaign,1/22/2020,University of Illinois Urbana-Champaign Jewish Student & Student Government Senator (Ian),"<p>""Modern antisemitism does not always resemble the discrimination faced by our ancestors; on college campuses, it is often masked as criticism of Israel and anti-Zionism. On my campus at the University of Illinois Urbana-Champaign I, a Jew, have been labeled a Nazi for being a Zionist, abandoned by progressive campus organizations, silenced in the student government as the lone Jewish senator, and personally threatened -- all for supporting the right of Jewish self-determination."" <a href=""https://www.jpost.com/Opinion/Antisemitism-has-become-a-daily-part-of-college-life-614917"" target=""_blank"">Read more</a></p>",966,2020
Emory University,1/9/2020,Emory University Jewish Student (David),"<p>""Last year during a heated campus-wide debate over the Israeli-Palestinian conflict, I found 'Treat all faiths equally, not just the ones with money' chalked on the sidewalk of my university quad. chalked on the sidewalk of my university quad, harking back to age-old stereotypes about Jewish people. I’ve been called a white supremacist and militant Zionist, and I’ve been excluded from campus organizations because of my affiliation with Jewish community clubs. The visible sign of a kippah makes me a target for vitriol from both sides of the political spectrum. I’ve always felt safe wearing my kippah at Emory, but recently — for the first time — I feel increased vulnerability in being publicly recognized as Jewish."" <a href=""https://www.washingtonpost.com/religion/2020/01/09/more-than-headwear-my-yarmulke-symbol-faith-not-target-hate/"" target=""_blank"">Read more</a></p>",963,2020
University of Michigan - Dearborn,12/20/2019,University of Michigan Dearborn Jewish Student (Jordan),"<p>""I really struggled on campus because I came from a heavily influential Jewish family. When I got to UM-Dearborn, I immediately had a target on my back.” <a href=""https://thejewishnews.com/2019/12/20/michigan-college-students-on-the-executive-order/"" target=""_blank"">Read more</a></p>",961,2019
University of Illinois Urbana Champaign,12/20/2019,University of Illionis Urbana Champaign Jewish Student  (Melech),"<p>""The resolution [that allowed anti-Zionists to defined antisemitism] itself sparked the largest joint effort of the Jewish campus community in the university’s history, all joined together in condemning the resolution which sought to define antisemitism on the anti-Zionist’s terms. I do believe that one can be Palestinian or support Palestinian rights and not be antisemitic, after all criticism of a country is a sign of democracy,” he noted. “However, anti-Zionism all too often employs antisemitic language and vice versa, and it is up to no one but the Jews to draw the line between them.” <a href=""https://www.algemeiner.com/2019/12/20/in-mass-email-university-of-illinois-student-govt-leader-rejects-conflation-of-antisemitism-and-anti-zionism/"" target=""_blank"">Read more</a></p>",962,2019
Duke University,12/15/2019,Duke University Jewish Student (Max),"<p>""There are certain students who will go out and particularly be very vicious in their words against supporters of Israel on campus."" <a href=""https://www.nytimes.com/2019/12/15/us/trump-anti-semitism-order-college-students.html"" target=""_blank"">Read more</a></p>",960,2019
Wheaton College,12/11/2019,Wheaton College Jewish Student (Unnamed),"<p>“I have been deeply saddened by the three recent swastika incidents on campus... Overall, students have started to take these incidents more seriously, but still there is an overall sense that everything is a joke.” <a href=""https://www.thesunchronicle.com/news/local_news/hateful-graffiti-swastikas-upset-culture-of-acceptance-on-wheaton-campus/article_8272eb38-fd64-55d9-a9a6-4ce001b59df9.html"" target=""_blank"">Read more</a></p>",959,2019
Columbia University/Barnard College,12/8/2019,Columbia University Jewish Student (Romy),"<p>""We walked in knowing, deep down, that our defeat was most likely inevitable. We walked in understanding, deep down, that the council was not on our side. We walked in recognizing, deep down, that the 10,000 Jewish students on our campus, the pro-Israel voices on our campus, our strong, brave, bold voices would be muted with a simple 'yes' vote... After hearing the word 'yes,' after hearing the vote to have a referendum passed, my heart fell to the floor. As I am someone who never cries, I didn’t think I would, but I did, along with many others who felt the same way I was feeling at that very one moment. We left the room as SJP and JVP members screamed, boasted, roared in great excitement, singing at the top of their lungs 'from the river to the sea, Palestine will be free.' Holding my camera up in dismay, tears trapped in my eyes and my hands shaking uncontrollably, I couldn’t believe my ears, my eyes, the insensitivity happening right in front of me, in front of all of us."" <a href=""http://www.israelnationalnews.com/Articles/Article.aspx/24846"" target=""_blank"">Read more</a></p>",957,2019
Columbia University/Barnard College,11/25/2019,Columbia University Jewish Student Organization (Aryeh),"<p>“Aryeh is deeply disappointed in the CCSC representatives who voted in favor of the referendum, ignoring the overwhelming concern voiced by Jewish students in the room for their safety and well-being on Columbia’s campus. While we articulated that we believe in both a Palestinian and a Jewish state, CUAD shamefully revealed that they do not believe in the right of a Jewish state to exist. Having to defend the right for Jewish self-determination for the third time in four years has made the Jewish community feel targeted and isolated. [Aryeh applauds] SSI, JStreet CU, and Hillel, and the CCSC representatives who came together and stood up for the Jewish community in the face of such intolerance.” <a href=""https://www.algemeiner.com/2019/11/25/columbia-university-to-hold-israel-divestment-referendum-supporters-chant-from-the-river-to-the-sea-palestine-will-be-free/"" target=""_blank"">Read more</a></p>",954,2019
Columbia University/Barnard College,11/25/2019,Columbia University Jewish Student & SSI President (Ofir),"<p>“This [BDS resolution] has nothing to do with fostering dialogue, with peace or security — it has everything to do with dialogue that does not include Jewish students, does not include pro-Israel students. We’re going to fight this referendum with all our powers, because we understand that the sole purpose of it is to marginalize us.” <a href=""https://www.algemeiner.com/2019/11/25/columbia-university-to-hold-israel-divestment-referendum-supporters-chant-from-the-river-to-the-sea-palestine-will-be-free/"" target=""_blank"">Read more</a></p>",955,2019
Arizona State University,11/22/2019,Arizona State University Jewish Student & President of the Hillel Jewish Student Center at ASU (Sarah),"<p>“If USG wants ASU to remain a place where all students feel included, you must vote against any resolution that supports the BDS movement."" <a href=""http://www.jewishaz.com/community/month-of-anti-israel-activity-at-asu-sparks-debate/article_2fac09e4-0d6f-11ea-9a13-5bfd3f7beb85.html"" target=""_blank"">Read more</a></p>",951,2019
Arizona State University,11/22/2019,Arizona State University Jewish Student & President of the ASU chapter of Students Supporting Israel (Emily),"<p>“This whole [BDS] resolution is absurd. It literally shuts down any connection, any chance to have dialogue.” <a href=""http://www.jewishaz.com/community/month-of-anti-israel-activity-at-asu-sparks-debate/article_2fac09e4-0d6f-11ea-9a13-5bfd3f7beb85.html"" target=""_blank"">Read more</a></p>",952,2019
Arizona State University,11/22/2019,Arizona State University Jewish Student & ASU Chapter President of Alpha Epsilon Pi (Jacob),"<p>“As the president of the Jewish fraternity, from what I hear from my guys, it’s [a number of recent antisemitic incidents] creating an environment on campus that’s unwanted and it’s completely unwarranted."" <a href=""http://www.jewishaz.com/community/month-of-anti-israel-activity-at-asu-sparks-debate/article_2fac09e4-0d6f-11ea-9a13-5bfd3f7beb85.html"" target=""_blank"">Read more</a></p>",953,2019
University of Georgia,11/21/2019,University of Georgia Jewish Student (Becca) [in response to anti-abortion posters that utilized graphic Holocaust imagery and text],"<p>""Using imagery of the Holocaust including Nazi symbolism and [..] mounds of dead bodies is extremely triggering - to be bombarded by reminders of the darkest point in our people’s history in a place where we are supposed to feel safe is outrageous."" <a href=""https://www.redandblack.com/opinion/guest-column-jewish-students-speak-out-abortion-is-not-genocide/article_f9d8b3c8-0c77-11ea-9ba7-0f47f9de30cb.html"" target=""_blank"">Read more</a></p>",947,2019
University of Georgia,11/21/2019,University of Georgia Jewish Student (Barak) [in response to anti-abortion posters that utilized graphic Holocaust imagery and text],"<p>""As someone who lost over half of their family in the holocaust, [...] the fact that the holocaust is being used in this way I find offensive and distasteful."" <a href=""https://www.redandblack.com/opinion/guest-column-jewish-students-speak-out-abortion-is-not-genocide/article_f9d8b3c8-0c77-11ea-9ba7-0f47f9de30cb.html"" target=""_blank"">Read more</a></p>",948,2019
Emory University,11/21/2019,Emory University Jewish Student (Ben),"<p>""I have Jewish friends both at Emory and on many other campuses who feel that their Zionist beliefs have excluded them from academic and organizational spaces. Like Flayton, they are outspoken advocates for human rights in the United States and globally (including in Israel-Palestine), yet they have been called 'white supremacists' and 'supporters of ethnic-cleansing.' I am the co-president of Emory’s Climate Reality Project and a staff member on Volunteer Emory’s Social Justice Education team. Oftentimes, I fear my identity as a Zionist Jew will hinder my participation in these spaces. I live in perpetual fear that someone will label me a 'baby killer' or 'colonial apologist,'... without allowing me to contextualize my family history and offer a definition of Zionism on my own terms."" <a href=""https://emorywheel.com/zionist-discourse-important/"" target=""_blank"">Read more</a><span></span></p>",949,2019
Vassar College,11/21/2019,Vassar College Student (Abram),"<p>""[T]he Vassar chapter of Students for Justice in Palestine (SJP) has bastardized their alleged goal, and its members take advantage of their privileged position on campus to spread negative energy extraneous to the goal of liberation. That is, rather than engage in dialogue with willing groups such as Vassar Organizing Israel Conversations Effectively (VOICE), SJP expends effort disrupting lectures on ethnic minority groups."" <a href=""https://miscellanynews.org/2019/11/21/opinions/discourse-on-israel-palestine-needed-but-sjp-doesnt-help/"" target=""_blank"">Read more</a></p>",950,2019
Vassar College,11/19/2019,Vassar College Jewish Student and President of VOICE (Jacob),"<p>""I recently had to deal with these types of protests when my student group Vassar Organizing Israel Conversations Effectively invited a Mizrahi Israeli activist, Hen Mazzig, to Vassar to speak about his family’s survival of ethnic cleansing in Iraq and Tunisia. In many ways, it seemed like the story we see almost weekly: Students invite an Israeli speaker and anti-Zionist students protest and disrupt the lecture. But this was not like those other episodes. The difference at Vassar was that we were fully supported by the Vassar Administration throughout all steps of the process. It is my belief that Vassar should be used as a model for how to properly support Jewish students like myself."" <a href=""https://forward.com/opinion/435100/protests-erupted-when-our-israeli-speaker-came-to-campus-vassars-response/"" target=""_blank"">Read more</a></p>",944,2019
George Washington University,11/19/2019,George Washington University Jewish Student & SA Senator (Louie),"<p>“As Jewish people, we have been persecuted since the very beginning, and the fact that people on this campus are drawing swastikas on the doors of Jewish students is disgraceful. The only appropriate reaction of the Student Association is to condemn anti-Semitism in its fullest terms."" <a href=""https://www.gwhatchet.com/2019/11/19/sa-senate-urges-body-to-formally-define-anti-semitism-censures-senator/"" target=""_blank"">Read more</a></p>",945,2019
George Washington University,11/19/2019,George Washington University Jewish Student & GW for Israel Executive Board Member (Lizzie),"<p>“I sit here tonight deeply saddened by the action of our student senate as they have failed to protect and promote the ideals of our student population justly and, moreover, have further alienated the Jewish population on this campus. To deny the recognition of the state of Israel but somehow uphold that Jews have the right to self-determination frankly makes no sense and shows inherent anti-zionism, which in it of itself is anti-semitism. By denying the recognition of the Jews’ self-determined land in their ancestral homeland is a textbook definition that was manipulated at tonight’s SA meeting. Israel is at the core of the Jewish people, and it is foolish not to believe such; it is discussed at length for the people of our Bible, it is yearned for in our prayer liturgy, and it is the single unifying force of our people. Sure, one may not agree with Israeli politics—in fact, this is the sort of nuance I strive to educate my high school-aged campers over the summer, and I am almost positive it can grasp for students at the college level, but sometimes (one of those times being tonight), this university proves to me otherwise. As a Jewish student on this campus, condemning antisemitism at its fullest means including hate speech against the existence of the physical homeland that binds my people together, not just now, but over a millennia as we have faced genocide, pogroms, and all other exclusionary measures that failed to eradicate the most persecuted minority history has ever known. To not recognize Israel as the only safe haven that Jews have ever known and to disregard it because you do not agree with its contemporary politics shows a privilege I will never be able to wrap my head around. I am ashamed to have watched the bargains that went on during tonight’s meeting, and I urge every senator who wished to abstain, wanted to take the measure to a secret ballot, and outright voted against any sort of bill condemning anti-semitism on this campus to rethink their actions. If this is supposed to be the democratic body that represents the students, it should reflect the needs of the population, which is clearly vulnerable to the issue, as demonstrated by recent incidents. And to anyone who believes that Israel should be taken out of the equation, remember that it is the only Jewish country, why should other ethnic minorities be prioritized over this? What does your double standard truly mean deep down?” <a href=""https://www.facebook.com/noah.shufutinsky/posts/2430942163669608"" target=""_blank"">Read more</a></p>",946,2019
New York University,11/18/2019,NYU Former/Recently Graduated Jewish Student Leader (Adela),"<p>""Students deserve to be safe on their campus, and they shouldn’t be walking around in fear that their identity and expression of identity will be grounds for physical violence or harassment and discrimination."" <a href=""http://thejewishvoice.com/2019/11/18/student-complaints-spark-fed-probe-of-anti-semitism-on-nyu-campus/"" target=""_blank"">Read more</a></p>",937,2019
University of Minnesota Twin Cities,11/18/2019,University of Minnesota Hillel Executive Director (Benjie),"<p>“In my six years as the Hillel director on campus I have yet to experience more than a six month period without an anti-Semitic or anti-Israel incident."" <a href=""https://www.mndaily.com/article/2019/11/n-anti-semitic-graffiti-at-umn-indicates-larger-problem"" target=""_blank"">Read more</a></p>",938,2019
University of Minnesota Twin Cities,11/18/2019,University of Minnesota Jewish Student & Vice President of the Jewish Law Student Association (Meredith),"<p>“Not only do we feel scared [by swastikas], hurt... but then we have to take time out of our already busy schedules to address the issue when students who are not impacted continue to be un-impacted."" <a href=""https://www.mndaily.com/article/2019/11/n-anti-semitic-graffiti-at-umn-indicates-larger-problem"" target=""_blank"">Read more</a></p>",939,2019
University of Minnesota Twin Cities,11/18/2019,University of Minnesota Associate Director of the University’s Center for Jewish Studies (Natan),"<p>“A swastika sends a message that we support those who murdered six million Jews. It’s a threat … a death threat.” <a href=""https://www.mndaily.com/article/2019/11/n-anti-semitic-graffiti-at-umn-indicates-larger-problem"" target=""_blank"">Read more</a></p>",940,2019
SUNY Binghamton,11/18/2019,Binghamton University Jewish Student & Leadership of Bearcats for Israel (Amanda),"<p>“No one wanted to talk to me [during a pro-Israel display event]. They wanted to insult me and make me afraid, and at some point, we were too afraid to be out there alone. When people started ripping up our flags, it was a scary reality that people just felt like they could take our property and do what they wanted simply because they disagreed.” <a href=""https://www.bupipedream.com/news/112669/pro-israel-display-met-with-criticism/"" target=""_blank"">Read more</a></p>",942,2019
SUNY Binghamton,11/18/2019,Binghamton University Jewish Student & President of Bearcats for Israel (Benjamin),"<p>“I would say the worst part was that most people didn’t really want to have a dialogue, they didn’t care about what we had to say — all they wanted to do was scream. The fact that people who have never met me or any of my board members already harbored so much hatred for us is really disheartening.” <a href=""https://www.bupipedream.com/news/112669/pro-israel-display-met-with-criticism/"" target=""_blank"">Read more</a></p>",943,2019
George Washington University,11/18/2019,George Washington University Jewish Student (Unnamed),"<p>""Last year I was called a racist Zionist slut on GW’s campus for wearing my Star of David. I am not afraid but I should be."" <a href=""https://www.facebook.com/GWStudentAssociation/videos/420055625588405/"" target=""_blank"">Read more</a></p>",964,2019
George Washington University,11/18/2019,George Washington University Jewish Student (Hallie),"<p>""I have experienced many forms of anti-Semitism on this campus alone. From being uncomfortable wearing my Star of David necklace which I have done everyday since I was a child my entire life that changed when I came to GW.  I had a professor that graded my essay lower than the class stating that as a Jewish student my opinion on the Middle East was formed by my Jewish grandfather. This incident was not even investigated by the university stating that I did not have tangible proof and they did not even investigate. I had to leave that class multiple times during the semester and I dreaded going to class every single day because I was uncomfortable being a Jewish student in an academic setting where there was a professor that was encouraging students to not only listen to anti-Semitic statements in the classroom but also forming anti-Zionist thinking. I cannot sit here silently when this incident of anti-Semitism is clearly repeated as has been in talking about this issue multiple times."" <a href=""https://www.facebook.com/GWStudentAssociation/videos/420055625588405/"" target=""_blank"">Read more</a></p>",965,2019
Emory University,11/17/2019,Emory University Jewish Students (Brett and Max),"<p>""Emory Students for Justice In Palestine (ESJP) claims that people having honest conversations with people of different perspectives is actually 'a guise to control and silence those speaking the truth about the state of Israel.' We believe that people meeting in good faith to share their different views in order to find common ground is virtuous. We find ESJP’s belief to be alarming, ahistorical and antithetical to academic values...  ESJP has proven incapable of having difficult conversations about the Israeli-Palestinian conflict without employing stereotypes. They’ve shared cartoons from an artist who participated in an Iranian Holocaust cartoon competition; accused their fellow students and the Emory administration of being under the spell of an Israeli 'program' and notably said the quiet part out loud: they do not believe Israel has a right to exist. They don’t believe that the Jewish people deserve the right to self-determination. This is literally textbook anti-Semitism. Part of the State Department’s definition of anti-Semitism is 'making allegations about the power of Jews as collective — such as, especially but not exclusively, the myth about a world Jewish conspiracy' and 'denying the Jewish people their right to self-determination.' These views should be beyond the pale and viewed as extremist, but the opposite has happened. The Wheel has awarded them credibility, and a portion of the student population undoubtedly believes this is all fine."" <a href=""https://emorywheel.com/dialogue-on-israel-palestine-should-be-the-beginning/"" target=""_blank"">Read more</a></p>",941,2019
