University,Date,Statement Addressed,Statement
Wellesley College,12/16/2023,"Harassment, General Antisemitism","<p>After 19 faculty members called on the administration to make a statement that anti-Zionism is not antisemitism, President Paula A. Johnson <a href=""https://blogs.wellesley.edu/announcements/2023/12/16/the-colleges-commitment-to-free-expression-and-creating-an-inclusive-community/"" target=""_blank"">responded</a> that she will not make such a statement. Her response stated: ""Yesterday, Wellesley’s administration and Board of Trustees received a letter signed by a number of faculty that was made publicly available online today. The letter calls on the administration and Board to state definitively that criticism of the state of Israel and of Zionism is not an expression of antisemitism. I want to be clear that Wellesley will not make such a statement. Some anti-Israel and anti-Zionist speech can, in fact, create a hostile environment for many of our students. The letter ignores how opinions and statements of the kind expressed in the letter can threaten the existence of Israel and increase fears for Jewish students on our campus. Again, Wellesley strongly rejects any invitation to contribute to these harms. Wellesley embraces free expression in alignment with our policy on demonstrations and free expression and with the AAUP 1940 Statement on Academic Freedom (with the 1970 revision) endorsed by the Academic Council in May 2020. This freedom extends to faculty, staff and students who wish to express solidarity with Palestinians and to oppose the policies of the Israeli government. The College will continue to defend this principle, which is foundational to the mission of a liberal arts college. However, the College’s obligation to create an inclusive campus community, where all feel safe and welcome, does not end when speech, demonstrations, or other forms of protest or activism are deemed legally permissible. Even protected speech can create an environment that is hostile and endangers the non-discrimination rights of affected students. Jewish students, Israeli students, Muslim students, Arab students, Palestinian students, and all other students have the right to an educational environment free from discrimination, harassment, and retaliation. Wellesley condemns in the strongest terms antisemitism, as well as anti-Arab, anti-Muslim, anti-Palestinian discrimination and all other forms of hate on our campus. Wellesley is committed to promoting an inclusive community and will promptly review conduct that potentially creates a hostile environment for individuals in our academic community. Our student life team is available to offer support to our students. Nearly 400 of Wellesley’s faculty and staff participated in Title VI training sessions held last week to learn how each of us can stand against all forms of hate in our community and work to ensure that all of our students are able to access our programs and activities without discrimination or harassment. Faculty and staff can still register to attend Monday’s training session, and a recording will be made available to those unable to attend a live webinar. Please take this time to review our policies and processes for reporting incidents of discrimination, including anonymous reporting. We recognize that this is a very difficult time in the world, and we are all deeply pained by the loss of innocent civilian lives in Gaza and Israel. But at times like this it is even more important that we strive to build an inclusive community that values free expression and recognizes the inherent dignity of different lived experiences.""
</p>"
University of California System,11/13/2023,"Harassment, General Antisemitism","<p>All ten UC Chancellors released a <a href=""https://leadership.ucdavis.edu/news/chancellor-may-joins-president-drake-and-uc-chancellors-condemning-bigotry"" target=""_blank"">statement</a> ""to condemn the alarming, profoundly disappointing acts of bigotry, intolerance, and intimidation we have seen on our campuses over these past several weeks"" which expressed: ""Antisemitism is antithetical to our values and our campus codes of conduct and is unacceptable under our principles of community. It will not be tolerated. Similarly, Islamophobia is unacceptable and will not be tolerated. We will work to ensure that those who advocate on behalf of Palestinians can also be confident of their physical safety on our campuses. It is our collective responsibility to foster a safe and welcoming learning, living, and working environment while also promoting the principles of free expression and academic freedom. We take our obligation to uphold the First Amendment seriously, even when the viewpoints expressed are hateful or repugnant. We cannot censor voices or ban groups we disagree with, so long as those voices and groups comply with state and federal laws and with university policy. But free speech is not absolute, and violations of policy or law will have consequences. Regents Policy 4403: Statement of Principles Against Intolerance calls on UC leaders 'actively to challenge anti-Semitism and other forms of discrimination when and whenever they emerge within the University community.' We will uphold this policy. Our campuses have and will continue to impose consequences on behavior that crosses the line into unprotected speech, such as persistent harassment of individuals or groups, or credible threats of physical violence. We will also take steps against any violations of the law or university policy such as disruptions of university activity, violence, or vandalism. Our educators must continue to provide a supportive and welcoming environment for all students and avoid using classroom time for improper political indoctrination... Members of the UC community may have differing opinions on the Middle East conflict, but our stand on intolerance and intimidation in our own community is unequivocal: We will not stand for it, and we will do everything in our power to ensure that the University of California is a safe community for all.""
</p>"
Brandeis University,11/8/2023,"Disruption, Harassment, General Antisemitism, Israel","<p>President Ron Liebowitz released the <a href=""https://www.brandeis.edu/president/letters/2023-11-08-free-speech-not-hate-speech.html"" target=""_blank"">statement</a>: ""Monday, the university issued a decision to no longer recognize the Brandeis chapter of the National Students for Justice in Palestine (SJP). This decision was made because SJP openly supports Hamas, which the United States has designated as a Foreign Terrorist Organization, and its call for the violent elimination of Israel and the Jewish people. Many people have asked about this decision and there has been some confusion about what is and is not permitted. We did not enter into this decision lightly. We are a university dedicated to ensuring free speech as outlined in Brandeis’ Principles of Free Speech and Free Expression. These principles state that the university ‘may restrict expression… that constitutes a genuine threat or harassment.’ All students, faculty, and staff are welcome here, and encouraged to participate in the free exchange of ideas. To promote such free exchange, we must not and do not condone hate, the incitement of violence, or threats against or harassment of anyone, be they Jewish, Muslim, Christian, Buddhist, Hindu, Israeli, Palestinian, or any other religion or ethnicity. I join those who are distressed by the loss of civilian life in Israel and in Gaza. Our faculty, staff, and student community members who wish to gather to express their support for the rights of Palestinians, or to acknowledge Palestinian deaths during the current Israel-Hamas war, are welcome to do so on our campus. They may do so as individuals, or they may seek to form student organizations through established procedures that comply with Brandeis’ policies. It is critical that all students, and all of their diverse experiences and viewpoints, be allowed to engage in constructive dialogue and live together as a community, in an environment that is free of intimidation and harassment. A commitment to openness is one of Brandeis’ founding values, but that openness is challenged when speech is used to intimidate and silence others.""
</p>"
Columbia University/Barnard College,11/10/2023,"General Antisemitism, Harassment, Disruption","<p>After repeated violations of University policy by anti-Zionist groups on campus, Gerald Rosenberg, Senior Executive Vice President of the University and Chair, Special Committee on Campus Safety, released the <a href=""https://news.columbia.edu/news/statement-gerald-rosberg-chair-special-committee-campus-safety"" target=""_blank"">statement</a>: ""Columbia University is suspending Students for Justice in Palestine (SJP) and Jewish Voice for Peace (JVP) as official student groups through the end of the fall term. This decision was made after the two groups repeatedly violated University policies related to holding campus events, culminating in an unauthorized event Thursday afternoon that proceeded despite warnings and included threatening rhetoric and intimidation. Suspension means the two groups will not be eligible to hold events on campus or receive University funding. Lifting the suspension will be contingent on the two groups demonstrating a commitment to compliance with University policies and engaging in consultations at a group leadership level with University officials. Like all student groups, SJP and JVP are required to abide by University policies and procedures. This ensures both the safety of our community and that core University activities can be conducted without disruption. During this especially charged time on our campus, we are strongly committed to giving space to student groups to participate in debate, advocacy, and protest. This relies on community members abiding by the rules and cooperating with University administrators who have a duty to ensure the safety of everyone in our community.""
</p>"
San Francisco State University,3/23/2023,Harassment,"<p>In response to a student expressing they did not want S.F. Hillel members collaborating on an event for being ""an extremist organization"", Jamillah Moore, the VP of Student Affairs & Enrollment Management, released a <a href=""https://jweekly.com/2023/03/23/antisemitic-statements-at-s-f-state-meeting-prompt-university-response/"" target=""_blank"">statement</a> that expressed, in part, ""We are writing with a deep sense of concern following the discovery that antisemitic statements were shared during an event planning meeting involving Associated Students, student organizations, and SF Hillel last week on Thursday, March 9. It was reported that during the meeting, a member of a student organization articulated they did not want SF Hillel members collaborating on the event and made anti-Zionist statements. As a campus community, we encourage a rigorous exchange of scholarly ideas and debate about Zionism, Israel, and any other world issue. That debate, however, cannot exclude people from participating in meetings and events based on an assumption of their political stance or religious identity. We want to make clear that San Francisco State University, Associated Students, and the campus community denounce antisemitism in any form. The words and actions go against our values and our mission of creating a safe and inclusive campus community in which we all feel safe and welcomed. We stand together in condemnation of actions that promote exclusion, bias, hatred, prejudice, and discrimination.""
</p>"
CUNY System,1/30/2023,General Antisemitism,"<p>CUNY Chancellor Felix Matos Rodriguez published an <a href=""https://ejewishphilanthropy.com/confronting-and-reporting-hate-on-campuses-and-beyond/"" target=""_blank"">article</a> titled, ""Confronting and reporting hate on campuses and beyond"" in e-Jewish Philantrophy that expressed, ""New York City joined a disturbing national trend in 2022: the rise of antisemitic crimes. According to the New York Police Department, antisemitic crimes across the five boroughs jumped by 125% since last year. These increases are leaving communities and New Yorkers rattled, including our own at the City University of New York (CUNY). With antisemitic attacks and speech on the rise around our country, our cities and our campuses, colleges and universities have a unique obligation to tackle the hate head-on... This year we look forward to working with Hillel’s Campus Climate Initiative, which works with over 40 colleges and universities to end antisemitism and build safe learning environments where all students can thrive — regardless of their race or religion. While we celebrate this, we also recognize that more needs to be done locally and globally to combat antisemitism and bigotry in all forms... CUNY and all higher education institutions have a critical role to play in addressing the hate that plagues college campuses and harms our Jewish colleagues and students. As we are responsible for the next generation of leaders, it is our duty to lead by example.""
</p>"
University of Vermont,10/28/2022,General Antisemitism,"<p>President Suresh Garimella released a <a href=""https://www.uvm.edu/news/story/president-suresh-garimella-condemns-antisemitism-uvms-campus"" target=""_blank"">statement</a> following a string of antisemitic <a href=""https://www.algemeiner.com/2022/10/28/university-of-vermont-president-denounces-antisemitism-weeks-after-widely-criticized-statement-on-jew-hatred/"" target=""_blank"">incidents</a> that stated, ""Antisemitism – hate, discrimination and at times even violence directed at those who identify as Jewish – has been on the rise around the world, here in the United States and on college campuses. Sadly, UVM is not immune, and I have listened to members of our campus community who experience a sense of risk in fully expressing their Jewish identity. I want my message to be clear to the entire campus community: antisemitism, in any form, will not be tolerated at UVM. Conduct that targets and threatens Jewish individuals or groups, or that unreasonably interferes with their ability to participate in UVM programs and activities, is unacceptable and completely contradictory to Our Common Ground values. You have my assurance that if a member of our community is found responsible for such conduct, they will be held fully accountable. Like all forms of discrimination and harassment, antisemitism is an affront to us all and leaves our entire community diminished. That is why our response to individual actions is only one aspect of our community’s efforts to resist and reject antisemitism. We must engage at the individual, group, community and societal levels to ensure the causes of such hate and bias as well as the effects are adequately addressed. We will remain fully engaged with students, community leaders, and external organizations to ensure that our Jewish students, faculty and staff are fully supported at UVM and feel the sense of belonging that as President I want every member of our community to feel. I know the Board joins me in acknowledging the seriousness of this issue and in reinforcing our commitment to ensuring that our campus is a safe and welcoming community for all. I have charged our Divisions of Student Affairs and Diversity, Equity, and Inclusion with building and maintaining meaningful actions that ensure our Jewish students and community members feel support and care. Resources for learning, support, and action for Jewish life and culture at UVM, including our continuing steps to respond to bias incidents and support those affected by them, are available on our website. UVM and its leaders are committed to comprehensive institutional excellence and to providing the necessary support for our entire community to live, work, and study with confidence and safety.""
</p>"
Stanford University,10/12/2022,General Antisemitism,"<p>President Marc Tessier-Lavigne released a <a href=""https://news.stanford.edu/report/2022/10/12/email-text-task-force-report/"" target=""_blank"">statement</a> following a task-force report that Stanford suppressed the admission of Jewish students in the 1950's and denied for years having done so, where Tessier-Lavigne's statement expressed, ""On behalf of Stanford University I wish to apologize to the Jewish community, and to our entire university community, both for the actions documented in this report to suppress the admission of Jewish students in the 1950s and for the university’s denials of those actions in the period that followed. These actions were wrong. They were damaging. And they were unacknowledged for too long. Today, we must work to do better, not only to atone for the wrongs of the past, but to ensure the supportive and bias-free experience for members of our Jewish community that we seek for all members of our Stanford community... The university is accepting the recommendations of the task force, with one modification described below, and implementation work will now begin. In addition to the institutional apology contained in this letter, our implementation plans include: Ongoing advisory committee: The task force recommended an additional study of contemporary Jewish life at Stanford. We embrace the need for ongoing engagement with the Jewish community at Stanford to understand the needs of the community and to translate those needs into action in thoughtful and coordinated ways. Rather than just a study, however, we will commission a standing Jewish advisory committee comprised of students, staff, faculty, and alumni that will work with the Office of the Vice Provost for Institutional Equity, Access, and Community and the Office for Religious and Spiritual Life to address the needs of the Jewish community and partner with relevant campus offices on action steps. We believe this approach will provide a more dynamic, action-oriented, and sustainable means of addressing these needs than would be provided by a single study. Education and training: We recognize the importance of addressing issues of potential bias against members of the Jewish community. A variety of anti-bias and related trainings are offered at Stanford and, as recommended, we will include antisemitism as one of the areas in which anti-bias education is provided. ASSU resolution: The task force recommended that the Associated Students of Stanford University enforce a 2019 resolution adopted by the Undergraduate Senate to combat antisemitism on campus. We understand that the ASSU has expressed its intent to do so and has been in contact with the task force regarding implementation.""
</p>"
University of California System,9/14/2022,General Antisemitism,"<p>President Michael V. Drake, M.D. released a <a href=""https://www.universityofcalifornia.edu/news/message-uc-president-drake-denouncing-anti-semitism-bigotry-and-hate"" target=""_blank"">statement</a> titled ""A message from UC President Drake denouncing anti-Semitism, bigotry and hate"" that expressed, ""I have been deeply disturbed by a recent wave of anti-Semitic incidents at college campuses across California — including UC Davis, Sacramento State, San Francisco State, and American River College. These events are happening in the midst of a troubling rise in anti-Semitic activity nationwide. I join leaders in California and across the nation in condemning these cowardly and hateful acts in the strongest terms. This bigotry is antithetical to our values as a nation and as a diverse and inclusive University community. As is outlined in our Principles Against Intolerance, the University of California unequivocally rejects all acts of hatred, discrimination and intolerance that demean our differences, sow fear and hostility, and undermine our ability to study, learn and work together. We take such incidents seriously, and we work with law enforcement and other experts to respond as appropriate... I urge everyone at the University of California to actively challenge anti-Semitism and all forms of discrimination, bias and prejudice wherever and whenever they emerge.""
</p>"
"University of Wisconsin, Madison",9/8/2022,Harassment,"<p>On September 8th, Vice Chancellor Lori Reesor and Deputy Vice Chancellor and Chief Diversity Officer LaVar J. Charleston released a <a href=""https://news.wisc.edu/statement-of-vice-chancellor-lori-reesor-and-deputy-vice-chancellor-and-chief-diversity-officer-lavar-j-charleston-on-campus-chalkings/"" target=""_blank"">statement</a> in response to antisemitic chalkings that targeted Jewish groups on campus that read, ""[W]e were disappointed that this [wonderful first day of classes] was marred by multiple sidewalk chalkings appearing around campus, targeting several Jewish student groups labeling them as 'racist,' 'genocidal,' and 'having blood on their hands.' These labels are antisemitic: they attribute broad actions or beliefs to Jewish student groups. To those Jewish students and others affected, we are sorry for the impact this had on your first day of class at UW. We truly strive to create a campus where every student feels they belong, and this kind of messaging harms that goal and aspiration. Our job as leaders is not to respond every time a controversial or offensive incident happens on our campus. However, these chalkings provide us a timely opportunity to express our expectations for civil engagement for the campus this fall and as we move forward together. Here at UW, we believe in sifting and winnowing and a robust commitment to free speech. That can be difficult and uncomfortable at times. While we do not know who created these chalkings, and acknowledge the impact they had, nonetheless we also acknowledge they represent free speech which is a core value at UW. Just because something isn’t prohibited doesn’t make it a good idea. Our expectation is that we engage across differences and discuss varying views and ideas with civility and respect and that did not happen here. We strongly believe that we learn best in environments that are inclusive and where people feel listened to and heard. Statements targeting students or other student groups, while not against the law or campus policy, violate our norms and actively work against the culture of belonging for which we are striving. To our entire community, we hope you hear our calls for civility and kindness while at the same time, embracing vigorous, honest debate. Please use this semester to respectfully engage with one another while deepening our culture of belonging.""
</p>"
CUNY System,5/30/2022,BDS,"<p>Chancellor Matos Rodríguez released a <a href=""https://www1.cuny.edu/mu/forum/2022/05/30/statement-by-chancellor-matos-rodriguez-on-the-support-of-a-bds-resolution-by-faculty-and-student-organizations-at-the-cuny-school-of-law/"" target=""_blank"">statement</a> on the ""Support of a BDS Resolution by Faculty and Student Organizations at the CUNY School of Law"" that expressed, in part, ""A resolution by the CUNY Law Student Government Association, adopted in December 2021 and supported by the Law School faculty earlier this month, endorsed the call for Boycott, Divestment, and Sanctions (BDS) against Israel and called on CUNY to divest from companies that aid Israel. CUNY does not support and to be clear cannot participate in BDS activities, and is required to divest public funds from any companies that do... The resolution also calls on the University to end all academic exchange programs with Israel. That is contrary to a university’s core mission to introduce students to a world that can be vastly different from their own, through international exchange programs and other academic experiences, and to encourage them to engage a range of opinions and beliefs. In that vein, I led 12 CUNY college presidents and deans on a recent ‘Scholars as Bridge Builders’ visit to Israel, organized by the Jewish Community Relations Council of New York. We visited three of the country’s institutions of higher education, The Hebrew University, Tel Aviv University and Sapir College, and also met with the former minister of higher education of the Palestinian Authority. We spoke with scholars and administrators whose work is focused on the advancement of diversity and peace and explored avenues of academic collaboration and exchange. The experience was inspirational and educational. It provided a lasting reminder of education’s capacity to foster an enlightened sense of goodwill between members of distinct communities, and to address the challenges of finding our common humanity in a climate of complex political and religious difference. The trip offered a powerful illustration of the importance of building bridges among members of communities as diverse – and sometimes, as opposed to one another – as ours here in New York City and at CUNY.""
</p>"
Harvard University,5/3/2022,BDS,"<p>In response to a professor's question about BDS endorsement by <em>The Crimson</em>, Harvard University President Lawrence Bacow <a href=""https://freebeacon.com/campus/no-comment-harvard-president-wont-condemn-anti-semitic-incidents/"" target=""_blank"">stated</a>, ""Academic boycotts have absolutely no place at Harvard, regardless of who they target.""
</p>"
New York University,3/30/2022,BDS,"<p>In response to the Middle East Studies Association's (MESA) <a href=""https://mesana.org/news/2022/03/23/middle-east-scholars-vote-to-endorse-bds"" target=""_blank"">endorsement</a> of an academic boycott, New York University released the following <a href=""https://www.nyu.edu/about/news-publications/news/2022/march/President_Hamilton_Statement_MESA.html"" target=""_blank"">statement</a>: ""NYU rejects and is deeply disappointed by the Middle East Studies Association's (MESA) recently passed resolution calling for an academic boycott of Israel. NYU's opposition to academic boycotts is longstanding (for example: <a href=""https://www.nyu.edu/about/news-publications/news/2013/december/letter-from-nyu-president-john-sexton-and-provost-david-mclaughl.html"">here</a>, <a href=""https://www.nyu.edu/about/news-publications/news/2016/april/statement-by-nyu-president-andrew-hamilton-on-grad-union-boycott-vote.html"">here</a>, <a href=""https://www.nyu.edu/about/news-publications/news/2018/december/BDS_Statement_2018.html"">here</a>) and is grounded in the belief that academic boycotts are at odds with the principles of academic freedom and the free exchange of ideas. NYU thinks it is deeply unfortunate for a scholarly organization to take this position. For the sake of academic freedom, we urge MESA to reconsider its ill-advised resolution.""
</p>"
Brandeis University,3/24/2022,BDS,"<p>In response to the Middle East Studies Association's (MESA) <a href=""https://mesana.org/news/2022/03/23/middle-east-scholars-vote-to-endorse-bds"" target=""_blank"">endorsement</a> of an academic boycott, Brandeis University released the following <a href=""https://www.brandeis.edu/now/2022/march/mesa-statement.html"" target=""_blank"">statement</a>: ""The Middle Eastern Studies Association’s (MESA) announced on March 23, 2022, that a majority of its members voted in favor of a resolution calling for an academic boycott of Israeli academic institutions. Brandeis University condemns MESA’s boycott of institutions of higher education in Israel. The resolution attacks the fundamental principles of academic freedom and association to which MESA specifically refers in its mission statement, and to which Brandeis is committed. As a matter of principle, Brandeis University opposes academic boycotts of universities in any country. In light of this vote and the boycott, Brandeis dissociates from MESA and reaffirms our support for academic freedom.""
</p>"
New York University,3/7/2022,"BDS, General Antisemitism","<p>After an <a href=""https://nyunews.com/opinion/2022/03/01/shut-down-nyu-tel-aviv/"" target=""_blank"">op-ed</a> piece in the Washington Square News called for the shutdown of NYU Tel Aviv, NYU spokesperson John Beckman <a href=""https://nyunews.com/opinion/2022/03/07/letter-to-the-editor-beckman-nyu-tel-aviv/"">responded</a> with a Letter to the Editor that stated, in part, ""In response to the recent opinion piece in WSN, NYU wants to reaffirm its unwavering commitment to the continued presence and operation of its study abroad site in Israel, NYU Tel Aviv. NYU believes that academic boycotts — and let’s not quibble: the closing of our Tel Aviv program would amount to nothing less — violate the principles of academic freedom and the free exchange of ideas to which NYU is committed. Opposition to academic boycotts is hardly NYU’s view alone, it is widely shared among US institutions of higher learning, and it is shared not only by the American Association of University Professors, but by the United Auto Workers — Graduate Student Organizing Council’s parent union — as well.""
</p>"
University of Southern California,12/3/2021,"General Antisemitism, Harassment","<p>President Folt <a href=""https://www.president.usc.edu/response-to-recent-faculty-open-letter-regarding-antisemitism/"">responded</a> to a <a href=""https://usc-faaz-12-2021.org/"">faculty letter</a> urging administration response to a student's social media call to ""kill"" all Zionists by stating, ""Thank you for your letter about this matter, which has disturbed us deeply as we understand very well the hurtful impact of the statements on Twitter that you quoted, not only to those who are Jewish but also to those of us who know how harmful antisemitism is when left unchecked. As we have stated publicly and repeated in many other messages, we emphatically denounce all forms of antisemitism and anti-Jewish hatred... For the university to remove anyone from a student-elected position based on protected speech would violate the California Leonard Law. We understand that, in view of what was initially posted and the hurt it caused, this is difficult to accept, but the university must always abide by the law... In your letter you assert that university leadership has not taken a strong position with respect to the tweets in question. We want to reassure you that nothing could be further from the truth. As you indicated in your letter, the two most troubling tweets at issue were made in May and June of 2021, and subsequently removed by the student before the start of the semester. After the tweets first came to the university’s attention over the summer, the university (as has been publicly reported) removed the student from a paid mentoring position in the Viterbi School of Engineering. Just before Thanksgiving, the deleted tweets were re-published by outside organizations, which urged supporters to protest by writing to the dean of the school, who had no control over either the original tweets or the student’s election to the student organization. Nevertheless, the Viterbi School quickly issued a public statement denouncing these hateful statements as being contrary to our university’s values. During the last week, Dean Yannis Yortsos and both of us have responded similarly to hundreds of emails that have been sent to us regarding this situation... It is important to recognize that we are dealing with a global phenomenon which is beyond the control of any one institution. We can assure you that when the Jewish community comes under attack on our campuses, we feel it as an attack on all of us. The only way we will defeat such hatred is if we stand together. As aggrieved as you feel about what happened, it is important to remember that we are being targeted by multiple organizations, some of which have agendas calculated to sow discord, misunderstanding, and distrust. As hard as it may seem to achieve, we will be most successful when we develop trust and take this on together. We have taken the time to clarify these matters because they are vitally important to you and to all of us. Unfortunately, more incidents like these involving social media will likely arise in the future. We sincerely appreciate your concerns and agree completely that antisemitism has no place on our campuses now or in the future.""
</p>
<p>NOTE: On Dec 13th, 2021, President Folt issued a follow up <a href=""https://www.president.usc.edu/statement-from-usc-president-carol-l-folt-regarding-antisemitic-behavior/"">statement</a> expressing, ""I understand the hurtful impact of recent anti-Jewish social media statements to those who are Jewish and to those of us who know how harmful antisemitism is when left unchecked. I have stated publicly and repeatedly that USC emphatically denounces all forms of antisemitism and anti-Jewish hatred. Please see a <a href=""https://www.president.usc.edu/response-to-recent-faculty-open-letter-regarding-antisemitism/"">recent letter</a> on this subject.""
</p>"
CUNY John Jay College,6/4/2021,General Antisemitism,"<p>CUNY John Jay President Karol Mason released a <a href=""https://www.jjay.cuny.edu/sites/default/files/President/Condemning_Antisemitism_Islamophobia_Racism_Intolerance_june4.pdf"" target=""_blank"">statement</a> following a spate of antisemitic hate crimes in the New York area stating, ""There’s been a disturbing rise in antisemitic hate crimes across our city, state, and country. This behavior cannot be tolerated and we unequivocally condemn any form of antisemitism. I’d like to speak directly to our Jewish students, faculty, staff, and friends, and say that I’ve heard your concerns for your safety and wellbeing, and I understand your fears. When you read about the recent disturbing acts of antisemitism in New York City—synagogues being vandalized, attacks on innocent Jewish people, and cruel messages of hate posted online—it adds to your fears. These appalling acts toward the Jewish community are unacceptable and un-American.""
</p>"
CUNY System,7/6/2021,BDS,"<p>In response to the Professional Staff Congress, the union representing CUNY professors, <a href=""https://amchainitiative.org/search-by-incident/#incident/display-by-date/details/60c78117b62ced001ed62ccd/"" target=""_blank"">passage</a> of a resolution that called to further explore the adoption of BDS, Chancellor Matos Rodríguez released a <a href=""https://www1.cuny.edu/mu/forum/2021/07/06/statement-from-chancellor-matos-rodriguez-on-cuny-membership-organizations/"" target=""_blank"">statement</a> on ""CUNY Membership Organizations"" that expressed, ""Naturally, there are many membership organizations that are part of the CUNY community. These organizations represent students, faculty and staff, including the University Student Senate (USS), the University Faculty Senate (UFS) and the Professional Staff Congress (PSC). These organizations are free to voice opinions, and often do, on a wide array of issues. To be clear, these organizations speak for themselves. The opinions or positions they express are entirely theirs and do not necessarily represent the views of the City University of New York. In fact, their statements may not always represent the views of many of their own members. We also understand that these statements can sometimes cause pain and create tension within the CUNY community, especially when members of our community are on opposing sides of divisive issues. That is why in recent years we have focused on elevating dialogue and building bridges between people of different backgrounds, many of whom have strong passionate views. It is incumbent on all of us, especially those of us in higher education, to promote tolerance and civic engagement and to respectfully have difficult — even painful — conversations on the most trying and seemingly insurmountable issues when needed.""
</p>"
CUNY School of Law,12/10/2021,BDS,"<p>In response to the CUNY Law Student Government's <a href=""https://amchainitiative.org/search-by-incident/#incident/display-by-date/details/61aa6085c72ff2001f27287a/"" target=""_blank"">passage</a> of a resolution that endorsed academic BDS and singled out campus organizations of Hillel, Camera, StandWithUS, Bulldogs for Israel, Students Supporting Israel and several other groups for condemnation, Chancellor Matos Rodríguez released a <a href=""https://www1.cuny.edu/mu/forum/2021/12/10/statement-from-chancellor-matos-rodriguez-on-a-recent-bds-resolution-adopted-by-the-cuny-school-of-law-student-government-association/"">statement</a> that said, in part, ""The CUNY Law Student Government Association’s recent resolution endorsed the call for Boycott, Divestment, and Sanctions (BDS) against Israel and calls on CUNY to divest from companies that aid Israeli. To be clear, CUNY cannot participate in or support BDS activities and is required to divest public funds from any companies that do. The resolution also states that CUNY and the CUNY School of Law are complicit in censoring Palestinian solidarity organizations and in committing war crimes against the Palestinian people, a characterization that we completely reject. It also calls on the University to end all academic exchange programs with Israel which is contrary to a university’s core mission to expose students personally and academically to a world that can be vastly different to their own, particularly through international exchange programs. I am focused on elevating dialogue and building bridges between people and groups of different backgrounds whose beliefs and divergent experiences and histories sometimes place them at odds. Now, more than ever, I believe it is incumbent on all of us, especially those of us in higher education, to promote tolerance and civic engagement, and to commit ourselves to coming together, hard as it may often seem, to forge mutual understanding as members of this widely diverse University community.""
</p>"
New York University,11/23/2021,BDS,"<p>On behalf of NYU, Press Contact John Beckman released the following <a href=""https://www.nyu.edu/about/news-publications/news/2021/november/JB_Statement_Law_School.html"" target=""_blank"">statement</a> condemning an academic boycott of Israel: ""NYU and the NYU School of Law are troubled and disappointed by the student-led Review of Law and Social Change's (RLSC) <a href=""https://socialchangenyu.com/harbinger/n-y-u-review-of-law-social-change-statement-of-commitment-to-the-boycott-divest-sanctions-movement/"" target=""_blank"">call</a> for an academic boycott of Israeli universities and academics. Academic boycotts, such as the one proclaimed by the RLSC, are antithetical to the precepts of academic freedom and the free exchange of ideas. For this reason, as a matter of policy, NYU rejects, as it has for many years, calls for academic boycotts of Israel, and the University likewise rejects calls to close its NYU Tel Aviv program, to which it remains fully committed.""
</p>"
University of North Carolina Chapel Hill,9/24/2021,"General Antisemitism, Harassment","<p>Chancellor Kevin M. Guskiewicz issued a <a href=""https://www.unc.edu/posts/2021/09/24/confronting-antisemitism/"" target=""_blank"">statement</a> expressing, ""At Carolina, we unequivocally reject and deplore antisemitism. It has no place on our campus. For a long time, academics have discussed the relationship and differences between anti-Zionism and antisemitism. A few years ago, I sat around the table at Hillel with a large group of Jewish students who had an open and honest debate on this very issue. I came away from that conversation recognizing the complexities surrounding these discussions and the ways that Zionism is an integral part of many of our Jewish students’ identity. As an academic community, we have an obligation to support rigorous, informed debate, and this extends to the difficult and sensitive set of topics relating to the history and future of Israel and Palestine. I believe we must recognize the line between some expressions of anti-Zionism and actual antisemitism. I have heard from students and alumni who’ve felt unwelcome and marginalized by discourse crossing that line, and their experience is troubling to me... I have asked campus leaders to hold listening sessions this October and next spring intended to bring our community together to discuss concerns around all forms of discrimination and harassment, including but not limited to antisemitism... In the meantime, I encourage any student who feels discriminated against or harassed based on their ethnic background or religious identity to report it immediately to the Equal Opportunity and Compliance Office. As a Carolina community, we must do everything in our power to combat discrimination. I hope that each of you will join me in this endeavor.""
</p>"
University of California Berkeley,9/8/2021,General Antisemitism,"<p>Chancellor Carol Christ issued the following statement in response to antisemitic social media content posted by a UC Berkeley lecturer: “On September 1st the Anti-Defamation League informed the campus about social media content posted by a UC Berkeley lecturer that raises understandable concerns about the content’s connection to antisemitic tropes. While the content in question is constitutionally protected expression, as a member of this community, I believe that political expression invoking imagery associated with historical antisemitism does not contribute to a constructive discussion about the conflict in the Middle East, and is inconsistent with <a href=""https://diversity.berkeley.edu/principles-community"">UC Berkeley’s Principles of Community</a>. While I do not believe that all criticism of Israel’s governmental policies is inherently antisemitic, we will continue to make every effort to foster discourse that does not rely on the use of crude imagery or other forms of expression that may not be consistent with our Principles of Community. UC Berkeley unequivocally supports the <a href=""https://regents.universityofcalifornia.edu/regmeet/mar16/e1attach.pdf"">University of California Regents’, ‘Principles Against Intolerance’</a>, which are clear in their general condemnation of bias, hatred, prejudice and discrimination. We also adhere to and strongly support their specific statement that, ‘antisemitism and other forms of discrimination have no place in the University.’”
</p>"
